913972	Tryblionella	33849	Bacillariophyceae
941920	Reimeria	33849	Bacillariophyceae
941923	Encyonopsis	33849	Bacillariophyceae
97226	Gomphonema	33849	Bacillariophyceae
1003028	Centronella	33853	Fragilariophyceae
1003038	Ctenophora	33853	Fragilariophyceae
1003093	Podocystis	33853	Fragilariophyceae
1158034	Florella	33853	Fragilariophyceae
1223238	Koernerella	33853	Fragilariophyceae
1223239	Perideraion	33853	Fragilariophyceae
1246681	Astrosyne	33853	Fragilariophyceae
1415746	Licmosphenia	33853	Fragilariophyceae
1490962	Meridion	33853	Fragilariophyceae
1529378	Tetracyclus	33853	Fragilariophyceae
1543677	Hanicella	33853	Fragilariophyceae
1543680	Lucanicum	33853	Fragilariophyceae
1706451	Neodelphineis	33853	Fragilariophyceae
186019	Synedropsis	33853	Fragilariophyceae
1897720	Hendeyella	33853	Fragilariophyceae
1897721	Cratericulifera	33853	Fragilariophyceae
1897722	Castoridens	33853	Fragilariophyceae
1897723	Serratifera	33853	Fragilariophyceae
191584	Synedra	33853	Fragilariophyceae
210452	Grammatophora	33853	Fragilariophyceae
210597	Licmophora	33853	Fragilariophyceae
210599	Microtabella	33853	Fragilariophyceae
210601	Nanofrustulum	33853	Fragilariophyceae
210613	Rhabdonema	33853	Fragilariophyceae
210615	Staurosira	33853	Fragilariophyceae
210617	Striatella	33853	Fragilariophyceae
2108098	Falcula	33853	Fragilariophyceae
210842	Hyalosira	33853	Fragilariophyceae
216616	Fragilariforma	33853	Fragilariophyceae
216819	Cyclophora	33853	Fragilariophyceae
2174330	Stricosus	33853	Fragilariophyceae
2174413	Divergita	33853	Fragilariophyceae
2231117	Gedaniella	33853	Fragilariophyceae
2231154	Stauroforma	33853	Fragilariophyceae
232513	Tabularia	33853	Fragilariophyceae
2485821	Neosynedra	33853	Fragilariophyceae
265589	Delphineis	33853	Fragilariophyceae
2731323	Ambo	33853	Fragilariophyceae
2862	Diatoma	33853	Fragilariophyceae
2901865	Placosira	33853	Fragilariophyceae
2927904	Hannaea	33853	Fragilariophyceae
3093593	Lioloma	33853	Fragilariophyceae
3135940	Psammotaenia	33853	Fragilariophyceae
33639	Asterionellopsis	33853	Fragilariophyceae
33644	Fragilaria	33853	Fragilariophyceae
33646	Rhaphoneis	33853	Fragilariophyceae
33648	Thalassionema	33853	Fragilariophyceae
3439080	Florellopsis	33853	Fragilariophyceae
35129	Asterionella	33853	Fragilariophyceae
426656	Protoraphis	33853	Fragilariophyceae
426661	Tabellaria	33853	Fragilariophyceae
426668	Ulnaria	33853	Fragilariophyceae
426675	Catacombas	33853	Fragilariophyceae
426677	Hyalosynedra	33853	Fragilariophyceae
433947	Punctastriata	33853	Fragilariophyceae
449129	Climacosphenia	33853	Fragilariophyceae
449146	Pseudostaurosira	33853	Fragilariophyceae
449168	Staurosirella	33853	Fragilariophyceae
449170	Pseudostaurosiropsis	33853	Fragilariophyceae
497701	Asteroplanus	33853	Fragilariophyceae
497706	Grammonema	33853	Fragilariophyceae
505993	Neofragilaria	33853	Fragilariophyceae
515463	Pteroncola	33853	Fragilariophyceae
515465	Opephora	33853	Fragilariophyceae
