2024-04-O-s0	2024-04-O-s1	2024-04-O-s4	2024-04-O-s8	2024-05-O-s1	2024-05-O-s4	2024-06-O-s1	2024-06-O-s4	2024-06-O-s8	2024-07-O-s1	2024-07-O-s4	2024-07-O-s8	2024-08-O-s1	2024-08-O-s4	2024-09-O-s1	2024-09-O-s4	2024-10-O-s1	2024-11-O-s0	2024-11-O-s1	2024-11-O-s4	2024-11-O-s8	2024-12-O-s1	2025-01-O-s1	2025-02-O-s1	2025-03-O-s1	2025-03-O-s4	2025-03-O-s8	2025-04-O-s4	2025-05-O-s1	2025-05-O-s4	2025-05-O-s8	2025-07-O-s4	2025-10-O-s4	2025-12-O-s4	2025-12-O-s8	2026-01-O-s4	2026-01-O-s8	2026-02-O-s4	2026-02-O-s8	2024-07-I-hm	2024-07-I-mm	2024-07-I-og	2024-09-I-hm	2024-09-I-mm	2024-09-I-og	2024-11-I-hm	2024-11-I-mm	2024-11-I-og	2024-12-I-hm	2024-12-I-mm	2024-12-I-og	2025-01-I-hm	2025-01-I-og	2025-03-I-hm	2025-03-I-mm	2025-04-I-hm	2025-04-I-mm	2025-04-I-og	2025-05-I-hm	2025-05-I-mm	2025-05-I-og	2025-06-I-hm	2025-07-I-hm	2025-10-I-hm	2025-10-I-mm	2025-10-I-og	2025-12-I-hm	2024-06-M-s0	2024-10-M-s4	2024-11-M-s1	2024-11-M-s4	2024-11-M-s8	2025-01-M-s0	2025-02-M-s1	2025-02-M-s8	2025-03-M-s4	2025-04-M-s8	2025-05-M-s4	2025-06-M-s4	2025-07-M-s4	2025-09-M-s0	2025-10-M-s1
Actinoptychus	0	0	0	0	0.13090647875368	0.0806227813696537	0.278663032423773	0	0.091795588802168	0	0	0	0	0	0	0	0	0.00599793497325483	0.0104678512231128	0.0280583683234901	0.120267663664458	0	0.00876624967690403	0.0254153720490691	0.0152750590809988	0	0	0.00785914304224178	0	0	0	0	0	0.0132513184762727	0.0266535140274594	0.00612607694031676	0.0311482856647877	0	0	0	0	0	0	0	0	0.130265634801177	0.158720794626472	0.0461567516303056	0.162604578492522	0	0.155317001602227	0.0299567137854779	0	0.0424159401795836	0.029788416933264	0	0.0315237287086924	0	0	0	0	0	0	0	0	0	0.0366902419267542	0	0.0123657981812382	0	0.0096508347984688	0.0114767703932905	0	0	0	0	0	0	0	0	0	0
Aequoribacter	0.00874169355324137	0.0233597550161849	0.0174386016053755	0.0869917054694783	0.0251283865792326	0.0376413313879778	0.0491177355563099	0.0159036843942861	0.0223396894445472	0.000734577707227198	0.0343413822162124	0.0153506445789471	0	0	0.0238801392566054	0.0295797496042787	0.00911563735656695	0.0555176173885957	0.0145912113177399	0.00900494102249947	0.00440055367585801	0.00193044594016556	0.00441074009373865	0.00469460711940806	0.00772644928907975	0.0230353036148262	0.00649028547313295	0.0117089412915787	0.00150621748359014	0.0082942311093787	0	0.00669183554680882	0.00277122536472854	0.00265229032601613	0.000686731221573609	0.022266780213107	0.00844164955643839	0.00995333186807362	0.00269965230375075	0.046385716715287	0.052222877699643	0.0348968616105087	0.0269638458328764	0.0356183944094852	0.0371069621234624	0.00667423279518182	0.00754558498603522	0.0156666791411913	0.00518062858183226	0.00471404890813741	0.00408198273083447	0.0136033046573141	0.0228614095391988	0.0492151084153956	0.037186772456225	0.0251096989277538	0.0268369213805022	0.0221813644988734	0.0263694303412232	0.0243680606072857	0.0126130593132962	0.048321850425197	0.00566595941240065	0.0132849224378031	0.0199345826427149	0.0136938427476053	0.0362337385382454	0.0211902831062859	7.23616676365036e-06	0.00264096617546951	0.00318245880940921	0.0020413970349728	0.0107831221894027	0.0024955527331934	0.00061776539424925	0.00024829508902002	0.0150002744782172	0.0160574912681731	0.0208394540996796	0.0279455701745372	0.0034216407415931	0.00276210529641908
Aequorivita	0.00514014908437816	0	0	0	0	0.0234932381306345	0.00150412989647175	0	0	0	0	0	0	0	0	0	0	0.000162978324748449	0.0016687225755701	0	0	0	0	0.130982993199602	0.00688494370245762	0.0174355814119571	0	0.000264912549910828	0	0	0	0.000580241395388048	0	0	0	0.00317604799906015	0	0.000692163952386832	0	0	0	0	0	0.00171015171782118	0.00255331750833088	0	0.0565983324001598	0	0	0	0.000659939968653266	0	0.00574379908022404	0.0187011484946978	0.00609453109659562	0.00254241883629386	0.00116022770098831	0	0	0	0	0.000306312374804976	0	0	0	0.00409425169258896	0	0.00786840724549072	0	0	0	0	0.0033247554638207	0	0	0	0.000473012725518606	0	0.0388594957009044	0	0.0175114259491557	0
Aequorvirus	0.00636260680029133	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154862289197662	0.00298454998841525	0.00941957113662088	0.0308768481784212	0.00942542649425744	0	0	0	0.000951426133890928	0.000715108099272214	0.00095912192640148	0	0	0.00096024168572003	0	0	0	0	0.00343989378432956	0.00104753459292588	0.001217450546834	0.00204055077434079	0.000219359199420068	0	0.000569427586793388	0	0.000989010809335464	0	0	0.0261934096160928	0.0339694006802795	0.00493087937470828	0.00384689156460068	0.0110556158522005	0.0545165004396511	0.116869563677914	0.0135593273253542	0.000563531810126154	0.0181760882812251	0.00207902975742376	0.000745309697456264	0.00869865332115948	0.00116240397084908	0	0.0142660797795123	0	0	0.00728374034911937	0	0.0288818245142256	0.0402326408824831	0.0404193661828306	0.027602466151396	0.000941651178446432	0	0.0165787445280706	0.113870764945843	0.125071763563798	0.016825688577003	0.0104615002753513	0.0120119193208759	0	0	0	0.000566822179589394	0.000453296205548614	0.0596843643299081	0.0363053347921829
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0.055010962566595	0	0	0	0.0139001265806143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103101912254194	0.100014563691526	0.067351986090021	0	0.0200963857188594	0.00497847347229179	0	0	0.0276645048240871	0.0233998497788301	0.0478229057173383	0.0488222793639877	0.0616844634369025	0.086017940851107	0.0182722645717695	0	0	0	0	0	0	0	0	0	0	0.00589965675337085	0.00277498387474152	0.12468660375839	0.0268214642249089	0	0	0	0.0105218443620102	0	0	0	0	0	0	0	0.0424782459617735	0	0
Aestuariibacter	0	0	0.00926780031866925	0	0.0175777660380813	0	0	0	0	0	0	0	0	0	0.0159012230286833	0	0.00661305960064917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000430295282713395	0	0	0	0	0.0053257984040788	0	0.0217445397872388	0.00210892252955445	0.00136610162940563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000406419696486585	0	0.341158721870759	0	0	0	0	0	0	0	0	0	0	0	0.00116771391294193	0.0495822956980788	0
Aestuariibaculum	0	0	0	0	0.0069741469351962	0.0108310108136683	0	0	0	0	0	0.00301016404831125	0	0	0	0	0	0	0.0198988631737495	0	0	0	0	0	0	0	0	0.0083417135298159	0.00172718825093857	0.00107225154186033	0	0.00324110926916131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00826210407744253	0.0062589099960364	0.165727611592041	0.140046854040572	0.0331213318276186	0.0154766503958316	0.0107609754425158	0.0928801124657531	0.0327784847790506	0.0306173061569569	0.033852750814018	0.00164323237338641	0	0	0	0	0.0485779268224166	0	0	0	0	0	0	0	0	0	0.00539828081924017	0.121358326170787	0	0	0
Aestuariibius	0.0134856669979191	0	0	0	0.0176081460844589	0	0.00718215265073431	0	0	0	0	0	0	0	0.00452084973154069	0	0.00206910279277134	0.010843906733258	0.00914578901143922	0	0	0	0.00130611919491879	0.00906571744268035	0.00440153127511532	0	0	0.000407884207034386	0.000879765368311961	0.000780139927344086	0.0190103468158558	0	0.000585198964618176	0	0.00123699676592422	0.00200977149868219	0.000923097902220571	0.00234573111114829	0.00165013408612583	0	0	0	0.00396880334486829	0.0021063204518556	0.000633646392795138	0	0	0.00163262906184529	0.00329012297573021	0	0	0	0.00163494714432006	0.00990597098737989	0.00447151182716824	0	0	0	0.00678035021693942	0	0	0.00348931612528719	0	0.002002285313725	0.00062487782271134	0.0011221113492255	0.00705448747824439	0.0326548748337861	0	0.000915226069121282	0	0	0.0144150089631242	0.00867150638922439	0.0055529191576287	0	0.00444031891615684	0	0.00912094410597516	0.0120149136180656	0.0482687869539794	0.0025407810910893
Aestuarium	0.000998228031433695	0.00571795259508192	0.00459284295911038	0.00884328385445126	0.0026541226223456	0.00164958002958607	0.00564399238460397	0.00584237194075465	0.00435754624800355	0.000300007518268296	0.00496136567942909	0.00487477868128327	0	0	0.00177112259633973	0.000132416868082972	0.00135365236144581	0.00668310701798114	0.0049608441737798	0.000352648027304409	0.000159847327387694	0.0105071953821326	0.0122991615536495	0.0228349801960904	0.00642854781278532	0.00605960911963747	0.00312840624351428	0.00215015274151612	0.00138253690118206	0.00051824107353844	0.00045613016983278	0.00121825549659513	0.00120764198829506	0.000326328029052765	0.000176865025543155	0.000727002616502559	0.000558625402506311	0.000266874661382945	0.00030063859135728	0.00404208203521511	0.00178229603921451	0.00216426948359645	0.0122667837861482	0.0222092164651704	0.0217266997509144	0.00410270218716131	0.00419405174023847	0.00682407828672456	0.00231661349347348	0.00283107357337993	0.00351901178514418	0.00830434202053466	0.00746821345148777	0.0120079024664141	0.0102306390621321	0.0072710108270548	0.00359953920365842	0.00236328567531154	0.00277515882997449	0.00317875690570597	0.000241093582390355	0.013880215750034	0.0107959363564116	0.00143007415556919	0.00354110015217319	0.00517977924361586	0.00361476551934013	0.0855230671154687	0	0.00125130166710006	0.00291519505491047	0.00212989444605757	0.00237921236160761	0.000259340365622532	0.000945813454921308	0.00434267890225589	0.00570427999054852	0.00376685419424644	0.0113694381978664	0.00538793587003239	0.0168291462938332	0.00620060148751015
Agaribacterium	0.00781831451281955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184610177978834	0	0	0	0	0	0	0	0	0	0	0	0	0.00214166133814357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0989399870186236	0	0	0	0	0	0.0248148640452026	0	0	0	0	0	0	0.00957167360652937	0
