genus_txid	genus_name	upper_txid	upper_name
188907	Oleispira	1236	Gammaproteobacteria
1913444	Candidatus Thiodiazotropha	1236	Gammaproteobacteria
2025617	Ketobacter	1236	Gammaproteobacteria
2038244	Agaribacterium	1236	Gammaproteobacteria
2056696	Cysteiniphilum	1236	Gammaproteobacteria
2066071	Bacterioplanoides	1236	Gammaproteobacteria
2108524	Halioxenophilus	1236	Gammaproteobacteria
22	Shewanella	1236	Gammaproteobacteria
2200736	Planctobacterium	1236	Gammaproteobacteria
222991	Alkanindiges	1236	Gammaproteobacteria
226	Alteromonas	1236	Gammaproteobacteria
230494	Reinekea	1236	Gammaproteobacteria
2425	Teredinibacter	1236	Gammaproteobacteria
246861	Grimontia	1236	Gammaproteobacteria
249523	Aestuariibacter	1236	Gammaproteobacteria
261825	Agarivorans	1236	Gammaproteobacteria
261963	Kangiella	1236	Gammaproteobacteria
262	Francisella	1236	Gammaproteobacteria
2678529	Kineobactrum	1236	Gammaproteobacteria
2686004	Candidatus Vondammii	1236	Gammaproteobacteria
2742	Marinobacter	1236	Gammaproteobacteria
2745	Halomonas	1236	Gammaproteobacteria
28228	Colwellia	1236	Gammaproteobacteria
28253	Marinomonas	1236	Gammaproteobacteria
2841677	Candidatus Pseudothioglobus	1236	Gammaproteobacteria
2847769	Aequoribacter	1236	Gammaproteobacteria
2848171	Cognaticolwellia	1236	Gammaproteobacteria
286	Pseudomonas	1236	Gammaproteobacteria
2893100	Sediminihaliea	1236	Gammaproteobacteria
2901164	Stutzerimonas	1236	Gammaproteobacteria
2901189	Halopseudomonas	1236	Gammaproteobacteria
2978116	Candidatus Azophilus	1236	Gammaproteobacteria
3018276	Aliamphritea	1236	Gammaproteobacteria
3023563	Candidatus Foliamicus	1236	Gammaproteobacteria
3033996	Candidatus Spongiihabitans	1236	Gammaproteobacteria
3040948	Candidatus Paraluminiphilus	1236	Gammaproteobacteria
3137766	Vreelandella	1236	Gammaproteobacteria
316625	Saccharophagus	1236	Gammaproteobacteria
34067	Cycloclasticus	1236	Gammaproteobacteria
3457297	Candidatus Njordibacter	1236	Gammaproteobacteria
3464216	Aurantivibrio	1236	Gammaproteobacteria
349742	Sedimenticola	1236	Gammaproteobacteria
393661	Congregibacter	1236	Gammaproteobacteria
40222	Methylophaga	1236	Gammaproteobacteria
40323	Stenotrophomonas	1236	Gammaproteobacteria
418700	Litorivicinus	1236	Gammaproteobacteria
437504	Granulosicoccus	1236	Gammaproteobacteria
459520	Neptuniibacter	1236	Gammaproteobacteria
469	Acinetobacter	1236	Gammaproteobacteria
48073	Microbulbifer	1236	Gammaproteobacteria
48075	Marinobacterium	1236	Gammaproteobacteria
497	Psychrobacter	1236	Gammaproteobacteria
511678	Aliivibrio	1236	Gammaproteobacteria
515417	Amphritea	1236	Gammaproteobacteria
53246	Pseudoalteromonas	1236	Gammaproteobacteria
58050	Moritella	1236	Gammaproteobacteria
599651	Bermanella	1236	Gammaproteobacteria
62100	Candidatus Endobugula	1236	Gammaproteobacteria
642	Aeromonas	1236	Gammaproteobacteria
655184	Candidatus Thioglobus	1236	Gammaproteobacteria
657	Photobacterium	1236	Gammaproteobacteria
662	Vibrio	1236	Gammaproteobacteria
67572	Psychromonas	1236	Gammaproteobacteria
75687	Neptunomonas	1236	Gammaproteobacteria
85079	Thiohalocapsa	1236	Gammaproteobacteria
863253	Marinicella	1236	Gammaproteobacteria
89404	Glaciecola	1236	Gammaproteobacteria
904708	Arenicella	1236	Gammaproteobacteria
907197	Psychrosphaera	1236	Gammaproteobacteria
933	Thiomicrospira	1236	Gammaproteobacteria
104264	Cellulophaga	976	Bacteroidota
104267	Tenacibaculum	976	Bacteroidota
111500	Allomuricauda	976	Bacteroidota
112040	Zobellia	976	Bacteroidota
1204360	Siansivirga	976	Bacteroidota
1209327	Flavivirga	976	Bacteroidota
1211036	Mangrovimonas	976	Bacteroidota
1236988	Geofilum	976	Bacteroidota
1386924	Aestuariibaculum	976	Bacteroidota
1518147	Wenyingzhuangia	976	Bacteroidota
153265	Aequorivita	976	Bacteroidota
1564515	Phaeodactylibacter	976	Bacteroidota
156993	Reichenbachiella	976	Bacteroidota
1618113	Saccharicrinis	976	Bacteroidota
1649460	Hwangdonia	976	Bacteroidota
1649495	Seonamhaeicola	976	Bacteroidota
1704230	Aureisphaera	976	Bacteroidota
178469	Arenibacter	976	Bacteroidota
1935184	Vaginella	976	Bacteroidota
1937972	Bernardetia	976	Bacteroidota
2045416	Oceanihabitans	976	Bacteroidota
2049301	Changchengzhania	976	Bacteroidota
2060722	Labilibaculum	976	Bacteroidota
216431	Croceibacter	976	Bacteroidota
221065	Kordia	976	Bacteroidota
225842	Formosa	976	Bacteroidota
237	Flavobacterium	976	Bacteroidota
246875	Algoriphagus	976	Bacteroidota
252306	Robiginitalea	976	Bacteroidota
252356	Maribacter	976	Bacteroidota
261827	Algibacter	976	Bacteroidota
2665910	Ulvibacterium	976	Bacteroidota
267986	Owenweeksia	976	Bacteroidota
2700084	Urechidicola	976	Bacteroidota
2715929	Aurantibacter	976	Bacteroidota
2822394	Patiriisocius	976	Bacteroidota
283735	Leeuwenhoekiella	976	Bacteroidota
28453	Sphingobacterium	976	Bacteroidota
286104	Winogradskyella	976	Bacteroidota
2861660	Pseudalgibacter	976	Bacteroidota
290174	Aquimarina	976	Bacteroidota
290180	Roseivirga	976	Bacteroidota
291183	Lacinutrix	976	Bacteroidota
2913017	Aggregatimonas	976	Bacteroidota
2918913	Pontimicrobium	976	Bacteroidota
292691	Christiangramia	976	Bacteroidota
2953860	Candidatus Arcticimaribacter	976	Bacteroidota
2975260	Parvicella	976	Bacteroidota
2987594	Rasiella	976	Bacteroidota
3024544	Paracrocinitomix	976	Bacteroidota
3085669	Paenimyroides	976	Bacteroidota
3129724	Xiashengella	976	Bacteroidota
3228946	Sanyastnella	976	Bacteroidota
326319	Dokdonia	976	Bacteroidota
